_/_/n/a/t/_/_/,"[['knot', 'naught', 'not', 'nought']]"
_/_/k/@/S/_/_/,"[['cache', 'cash']]"
_/_/t/a/t/_/_/,"[['taught', 'taut', 'tot']]"
_/_/t/u/_/_/_/,"[['to', 'too', 'two']]"
_/_/v/e/n/_/_/,"[['vain', 'vane', 'vein']]"
_/_/j/a/n/_/_/,"[['yawn', 'yon']]"
_/g/r/e/t/_/_/,"[['grate', 'great']]"
_/_/f/o/r/T/_/,"[['forth', 'fourth']]"
_/_/C/Y/l/d/_/,"[['child', 'childe']]"
_/_/t/Y/k/_/_/,"[['tike', 'tyke']]"
_/_/w/Y/l/_/_/,"[['while', 'wile']]"
_/_/g/I/l/t/_/,"[['gilt', 'guilt']]"
_/_/m/e/d/_/_/,"[['made', 'maid']]"
_/_/w/I/t/_/_/,"[['whit', 'wit']]"
_/_/m/@/t/_/_/,"[['mat', 'matte']]"
_/_/l/i/k/_/_/,"[['leak', 'leek']]"
_/_/_/o/k/_/_/,"[['oak', 'oke']]"
_/_/j/a/_/_/_/,"[['yah', 'yaw']]"
_/f/j/o/r/d/_/,"[['fiord', 'fjord']]"
_/_/w/^/r/l/_/,"[['whirl', 'whorl']]"
_/_/b/a/d/_/_/,"[['baud', 'bod']]"
_/f/l/o/_/_/_/,"[['floe', 'flow']]"
_/_/l/I/G/k/s/,"[['links', 'lynx']]"
_/t/r/^/s/t/_/,"[['trussed', 'trust']]"
_/_/w/Y/n/_/_/,"[['whine', 'wine']]"
_/s/t/@/f/_/_/,"[['staff', 'staph']]"
_/_/h/o/r/d/_/,"[['hoard', 'horde']]"
_/_/l/E/n/t/_/,"[['leant', 'lent']]"
_/b/l/a/k/_/_/,"[['bloc', 'block']]"
_/_/t/i/z/_/_/,"[['tease', 'tees']]"
_/_/s/i/m/_/_/,"[['seam', 'seem']]"
_/_/w/i/_/_/_/,"[['we', 'wee', 'whee']]"
_/_/C/i/p/_/_/,"[['cheap', 'cheep']]"
_/_/d/a/n/_/_/,"[['dawn', 'don']]"
_/_/w/E/t/_/_/,"[['wet', 'whet']]"
_/_/r/a/_/_/_/,"[['rah', 'raw']]"
_/s/p/E/k/_/_/,"[['spec', 'speck']]"
_/_/l/I/m/_/_/,"[['limb', 'limn']]"
_/_/b/i/C/_/_/,"[['beach', 'beech']]"
_/_/p/e/l/_/_/,"[['pail', 'pale']]"
_/_/p/i/r/_/_/,"[['peer', 'pier']]"
_/_/w/^/r/l/d/,"[['whorled', 'world']]"
_/_/g/I/l/d/_/,"[['gild', 'guild']]"
_/_/t/o/r/_/_/,"[['tore', 'torr', 'tour']]"
_/k/r/e/p/_/_/,"[['crape', 'crepe']]"
_/_/S/u/_/_/_/,"[['shoe', 'shoo']]"
_/k/r/a/k/_/_/,"[['croc', 'crock']]"
_/_/w/i/k/_/_/,"[['weak', 'week']]"
_/_/s/o/r/_/_/,"[['soar', 'sore']]"
_/p/l/^/m/_/_/,"[['plum', 'plumb']]"
_/_/w/I/g/_/_/,"[['whig', 'wig']]"
_/s/t/a/k/_/_/,"[['stalk', 'stock']]"
_/_/w/^/r/_/_/,"[['were', 'whir', 'whirr']]"
_/s/t/E/p/_/_/,"[['step', 'steppe']]"
_/_/r/I/G/_/_/,"[['ring', 'wring']]"
_/s/t/Y/l/_/_/,"[['stile', 'style']]"
_/_/b/e/_/_/_/,"[['bay', 'bey']]"
_/_/t/u/l/_/_/,"[['tool', 'tulle']]"
_/b/r/o/C/_/_/,"[['broach', 'brooch']]"
_/_/t/i/_/_/_/,"[['tea', 'tee']]"
_/_/r/E/s/t/_/,"[['rest', 'wrest']]"
_/_/w/E/r/_/_/,"[['wear', 'where']]"
_/_/J/E/l/_/_/,"[['gel', 'jell']]"
_/_/_/a/d/_/_/,"[['awed', 'odd']]"
_/_/k/^/r/d/_/,"[['curd', 'kurd']]"
_/_/l/E/d/_/_/,"[['lead', 'led']]"
_/_/_/I/f/_/_/,"[['if', 'iff']]"
_/k/r/i/k/_/_/,"[['creak', 'creek']]"
_/_/r/u/_/_/_/,"[['roux', 'rue']]"
_/_/w/o/_/_/_/,"[['whoa', 'wo', 'woe']]"
s/t/r/e/t/_/_/,"[['straight', 'strait']]"
_/_/f/a/n/_/_/,"[['faun', 'fawn']]"
_/_/w/a/p/_/_/,"[['whap', 'wop']]"
_/_/v/e/l/_/_/,"[['vale', 'veil']]"
_/s/l/o/_/_/_/,"[['sloe', 'slow']]"
_/_/k/o/r/_/_/,"[['core', 'corps']]"
_/s/t/^/r/_/_/,"[['stare', 'stir']]"
_/b/l/a/n/d/_/,"[['blond', 'blonde']]"
_/_/w/U/d/_/_/,"[['wood', 'would']]"
_/_/S/o/_/_/_/,"[['shew', 'show']]"
_/_/b/^/r/T/_/,"[['berth', 'birth']]"
_/_/d/Y/_/_/_/,"[['die', 'dye']]"
_/_/f/Y/l/_/_/,"[['faille', 'file']]"
_/_/k/W/_/_/_/,"[['cue', 'queue']]"
_/p/l/A/_/_/_/,"[['plough', 'plow']]"
_/_/m/o/r/n/_/,"[['morn', 'mourn']]"
_/_/n/o/r/_/_/,"[['knorr', 'nor']]"
_/_/n/i/d/_/_/,"[['knead', 'need']]"
_/_/r/Y/m/_/_/,"[['rhyme', 'rime']]"
_/_/r/i/d/_/_/,"[['read', 'reed']]"
_/_/m/o/l/d/_/,"[['mold', 'mould']]"
_/_/p/i/k/_/_/,"[['peak', 'peek', 'pique']]"
_/_/h/e/_/_/_/,"[['hay', 'hey']]"
_/_/k/u/_/_/_/,"[['coo', 'coup']]"
_/_/_/e/d/_/_/,"[['aid', 'aide']]"
_/_/_/A/r/_/_/,"[['hour', 'our']]"
_/_/b/e/l/_/_/,"[['bail', 'bale']]"
_/_/f/W/_/_/_/,"[['feu', 'few', 'phew']]"
_/f/l/i/_/_/_/,"[['flea', 'flee']]"
_/_/b/E/l/_/_/,"[['bell', 'belle']]"
_/k/l/o/z/_/_/,"[['close', 'clothes']]"
_/_/w/@/k/_/_/,"[['wack', 'whack']]"
_/_/w/i/l/d/_/,"[['wheeled', 'wield']]"
_/p/l/e/s/_/_/,"[['place', 'plaice']]"
_/_/h/a/_/_/_/,"[['ha', 'hah', 'haw']]"
_/_/r/a/t/_/_/,"[['rot', 'wrought']]"
_/_/n/u/_/_/_/,"[['knew', 'new']]"
_/_/t/Y/_/_/_/,"[['thai', 'tie']]"
_/_/r/i/k/_/_/,"[['reek', 'wreak']]"
_/_/f/i/t/_/_/,"[['feat', 'feet']]"
_/_/t/o/_/_/_/,"[['toe', 'tow']]"
_/_/d/@/m/_/_/,"[['dam', 'damn']]"
_/_/t/I/k/_/_/,"[['tic', 'tick']]"
_/_/b/i/_/_/_/,"[['be', 'bee']]"
_/_/m/o/t/_/_/,"[['moat', 'mote']]"
_/_/m/e/n/_/_/,"[['main', 'mane']]"
_/_/r/o/l/_/_/,"[['role', 'roll']]"
_/_/S/e/k/_/_/,"[['shake', 'sheikh']]"
_/k/l/@/k/_/_/,"[['clack', 'claque']]"
_/_/S/i/k/_/_/,"[['chic', 'sheik']]"
_/_/d/a/k/_/_/,"[['doc', 'dock']]"
_/_/r/o/t/_/_/,"[['rote', 'wrote']]"
_/_/m/a/s/k/_/,"[['masque', 'mosque']]"
_/_/l/o/n/_/_/,"[['loan', 'lone']]"
_/_/S/u/t/_/_/,"[['chute', 'shoot']]"
_/_/s/E/n/t/_/,"[['cent', 'scent', 'sent']]"
_/_/s/E/l/_/_/,"[['cell', 'sell']]"
_/_/b/Y/_/_/_/,"[['buy', 'by', 'bye']]"
_/_/h/W/_/_/_/,"[['hew', 'hue']]"
_/_/k/o/r/s/_/,"[['coarse', 'course']]"
_/_/m/e/l/_/_/,"[['mail', 'male']]"
_/_/p/i/l/_/_/,"[['peal', 'peel']]"
_/_/m/e/z/_/_/,"[['maize', 'maze']]"
_/_/w/^/n/_/_/,"[['one', 'won']]"
_/_/h/@/v/_/_/,"[['halve', 'have']]"
_/_/h/o/l/_/_/,"[['hole', 'whole']]"
_/_/n/e/_/_/_/,"[['nay', 'neigh']]"
_/_/_/Y/l/_/_/,"[['aisle', 'isle']]"
_/_/l/@/m/_/_/,"[['lam', 'lamb']]"
_/_/k/^/r/b/_/,"[['curb', 'kerb']]"
_/_/p/o/l/_/_/,"[['pole', 'poll']]"
_/_/m/W/z/_/_/,"[['mews', 'muse']]"
_/_/s/e/l/_/_/,"[['sail', 'sale']]"
_/_/n/I/t/_/_/,"[['knit', 'nit']]"
_/_/b/i/t/_/_/,"[['beat', 'beet']]"
_/_/w/o/r/n/_/,"[['warn', 'worn']]"
_/_/b/E/r/_/_/,"[['bare', 'bear']]"
_/_/_/a/n/_/_/,"[['an', 'on']]"
_/_/h/u/C/_/_/,"[['hooch', 'hootch']]"
_/_/n/Y/s/_/_/,"[['gneiss', 'nice']]"
_/_/p/I/k/_/_/,"[['pic', 'pick']]"
_/b/l/u/_/_/_/,"[['blew', 'blue']]"
_/_/p/E/r/_/_/,"[['pair', 'pare', 'pear']]"
_/_/b/a/r/d/_/,"[['bard', 'barred']]"
_/_/s/a/t/_/_/,"[['sot', 'sought']]"
_/_/h/a/l/_/_/,"[['hall', 'haul']]"
_/_/b/A/_/_/_/,"[['bough', 'bow']]"
_/f/r/i/z/_/_/,"[['freeze', 'frieze']]"
_/_/r/@/k/_/_/,"[['rack', 'wrack']]"
_/_/w/o/r/_/_/,"[['war', 'wore']]"
_/d/r/@/f/t/_/,"[['draft', 'draught']]"
_/_/n/e/v/_/_/,"[['knave', 'nave']]"
_/_/m/I/l/_/_/,"[['mil', 'mill']]"
_/_/h/i/r/_/_/,"[['hear', 'here']]"
_/g/r/e/_/_/_/,"[['gray', 'grey']]"
_/_/m/i/t/_/_/,"[['meat', 'meet', 'mete']]"
_/_/w/e/s/t/_/,"[['waist', 'waste']]"
_/_/S/o/n/_/_/,"[['shone', 'shown']]"
_/_/_/E/r/_/_/,"[['ere', 'err', 'heir']]"
_/_/m/Y/t/_/_/,"[['might', 'mite']]"
_/_/r/e/n/_/_/,"[['rain', 'reign', 'rein']]"
_/_/w/e/_/_/_/,"[['way', 'weigh', 'whey']]"
_/_/s/o/l/_/_/,"[['sole', 'soul']]"
_/_/n/a/k/_/_/,"[['knock', 'nock']]"
_/b/r/a/_/_/_/,"[['baron', 'bra']]"
_/_/_/@/k/s/_/,"[['ax', 'axe']]"
_/_/s/I/k/_/_/,"[['sic', 'sick']]"
_/k/w/a/f/_/_/,"[['coif', 'quaff']]"
_/_/b/^/t/_/_/,"[['but', 'butt']]"
_/s/l/Y/t/_/_/,"[['sleight', 'slight']]"
_/_/b/o/r/n/_/,"[['born', 'borne']]"
_/_/s/@/k/_/_/,"[['sac', 'sack']]"
_/_/k/a/s/t/_/,"[['cast', 'cost']]"
_/_/k/a/l/_/_/,"[['call', 'caul']]"
_/_/s/Y/t/_/_/,"[['cite', 'sight', 'site']]"
_/_/m/i/n/_/_/,"[['mean', 'mien']]"
_/_/s/^/n/_/_/,"[['son', 'sun']]"
_/_/w/I/C/_/_/,"[['which', 'witch']]"
_/_/r/@/p/_/_/,"[['rap', 'wrap']]"
_/_/f/e/n/_/_/,"[['fain', 'feign']]"
_/_/J/e/l/_/_/,"[['gaol', 'jail']]"
_/_/_/a/_/_/_/,"[['ah', 'aw', 'awe']]"
_/p/l/e/t/_/_/,"[['plait', 'plate']]"
_/_/b/a/l/_/_/,"[['ball', 'bawl']]"
_/p/l/e/n/_/_/,"[['plain', 'plane']]"
_/_/h/o/r/s/_/,"[['hoarse', 'horse']]"
_/p/r/e/_/_/_/,"[['pray', 'prey']]"
_/_/_/a/r/k/_/,"[['arc', 'ark']]"
_/_/b/@/n/z/_/,"[['banns', 'bans']]"
_/_/_/a/l/_/_/,"[['all', 'awl']]"
_/_/h/^/r/d/_/,"[['heard', 'herd']]"
_/k/l/Y/m/_/_/,"[['climb', 'clime']]"
_/_/s/^/r/f/_/,"[['serf', 'surf']]"
_/k/r/a/l/_/_/,"[['crawl', 'kraal']]"
_/p/l/i/z/_/_/,"[['pleas', 'please']]"
_/b/r/e/k/_/_/,"[['brake', 'break']]"
_/_/b/Y/t/_/_/,"[['bight', 'bite', 'byte']]"
_/_/f/e/t/_/_/,"[['fate', 'fete']]"
_/_/k/a/G/k/_/,"[['conch', 'conk']]"
_/_/l/Y/_/_/_/,"[['lie', 'lye']]"
_/_/l/e/n/_/_/,"[['lain', 'lane']]"
_/_/h/o/r/_/_/,"[['hoar', 'whore']]"
_/_/t/^/r/n/_/,"[['tern', 'turn']]"
_/_/p/i/s/_/_/,"[['peace', 'piece']]"
_/_/b/o/z/_/_/,"[['beaus', 'beaux']]"
_/_/_/i/v/_/_/,"[['eave', 'eve']]"
_/_/J/Y/b/_/_/,"[['gibe', 'jibe']]"
_/_/s/i/d/_/_/,"[['cede', 'seed']]"
_/_/d/e/n/_/_/,"[['dane', 'deign']]"
_/_/s/^/m/_/_/,"[['some', 'sum']]"
_/_/f/Y/_/_/_/,"[['fie', 'phi']]"
_/_/t/i/m/_/_/,"[['team', 'teem']]"
_/s/k/^/l/_/_/,"[['scull', 'skull']]"
_/_/h/a/k/_/_/,"[['hawk', 'hock']]"
_/_/w/e/l/_/_/,"[['wail', 'whale']]"
_/_/f/A/l/_/_/,"[['foul', 'fowl']]"
_/_/p/e/n/d/_/,"[['pained', 'paned']]"
_/_/s/i/k/_/_/,"[['seek', 'sikh']]"
_/_/b/@/t/_/_/,"[['bat', 'batt']]"
_/_/h/E/r/_/_/,"[['hair', 'hare']]"
_/_/s/i/n/_/_/,"[['scene', 'seen']]"
_/_/r/o/d/_/_/,"[['road', 'rode']]"
_/_/l/o/d/_/_/,"[['load', 'lode']]"
_/_/f/E/r/_/_/,"[['fair', 'fare']]"
_/_/_/^/r/n/_/,"[['earn', 'urn']]"
_/f/l/u/_/_/_/,"[['flew', 'flu', 'flue']]"
_/_/b/@/G/k/_/,"[['banc', 'bank']]"
_/_/b/W/t/_/_/,"[['beaut', 'butte']]"
_/_/j/o/r/_/_/,"[['yore', 'your']]"
_/_/r/u/t/_/_/,"[['root', 'route']]"
_/s/l/e/_/_/_/,"[['slay', 'sleigh']]"
_/_/j/o/k/_/_/,"[['yoke', 'yolk']]"
_/_/t/o/l/_/_/,"[['tole', 'toll']]"
_/g/r/o/n/_/_/,"[['groan', 'grown']]"
_/_/C/a/k/_/_/,"[['chalk', 'chock']]"
_/s/t/e/k/_/_/,"[['stake', 'steak']]"
_/_/r/e/n/z/_/,"[['rains', 'reins']]"
_/_/l/o/T/_/_/,"[['loath', 'loth']]"
_/_/d/u/_/_/_/,"[['dew', 'do', 'due']]"
_/_/b/@/s/k/_/,"[['bask', 'basque']]"
_/_/b/a/r/k/_/,"[['bark', 'barque']]"
_/_/S/i/r/_/_/,"[['shear', 'sheer']]"
_/b/r/i/C/_/_/,"[['breach', 'breech']]"
_/_/n/o/_/_/_/,"[['know', 'no']]"
_/_/p/e/n/_/_/,"[['pain', 'pane']]"
_/g/r/e/v/_/_/,"[['grave', 'graves']]"
_/b/r/E/d/_/_/,"[['bread', 'bred']]"
_/_/r/Y/t/_/_/,"[['right', 'rite', 'write']]"
_/_/s/i/_/_/_/,"[['sea', 'see']]"
_/_/r/e/z/_/_/,"[['raise', 'raze']]"
_/_/g/a/t/_/_/,"[['ghat', 'got']]"
_/_/l/u/p/_/_/,"[['loop', 'loupe']]"
_/_/f/^/r/_/_/,"[['fir', 'fur']]"
_/_/w/e/v/_/_/,"[['waive', 'wave']]"
_/_/t/e/l/_/_/,"[['tail', 'taille', 'tale']]"
_/f/l/E/r/_/_/,"[['flair', 'flare']]"
_/_/r/E/d/_/_/,"[['red', 'redd']]"
_/_/f/e/z/_/_/,"[['faze', 'phase']]"
_/_/h/Y/_/_/_/,"[['hi', 'hie', 'high']]"
_/_/f/e/n/t/s/,"[['faints', 'feints']]"
_/s/k/a/l/d/_/,"[['scald', 'skald']]"
_/_/_/e/_/_/_/,"[['a', 'ay', 'aye', 'eh']]"
_/_/s/i/r/_/_/,"[['sear', 'sere']]"
_/_/g/@/f/_/_/,"[['gaff', 'gaffe']]"
_/_/b/o/l/_/_/,"[['bole', 'boll', 'bowl']]"
_/_/r/Y/_/_/_/,"[['rye', 'wry']]"
_/_/r/u/d/_/_/,"[['rood', 'rude']]"
_/_/s/u/_/_/_/,"[['sioux', 'sue']]"
_/_/g/e/t/_/_/,"[['gait', 'gate']]"
_/_/r/^/G/_/_/,"[['rung', 'wrung']]"
_/_/s/Y/n/_/_/,"[['sign', 'sine']]"
_/s/t/i/l/_/_/,"[['steal', 'steel']]"
_/_/t/Y/m/_/_/,"[['thyme', 'time']]"
_/_/n/Y/t/_/_/,"[['knight', 'night']]"
_/_/p/^/r/_/_/,"[['per', 'purr']]"
_/_/f/o/r/m/_/,"[['form', 'forme']]"
_/_/h/i/l/_/_/,"[['heal', 'heel']]"
_/_/b/a/t/_/_/,"[['baht', 'bot', 'bought']]"
_/_/h/I/m/_/_/,"[['him', 'hymn']]"
_/_/J/I/n/_/_/,"[['gin', 'jinn']]"
_/_/_/o/_/_/_/,"[['oh', 'owe']]"
_/_/m/a/l/_/_/,"[['mall', 'maul']]"
_/_/m/W/_/_/_/,"[['mew', 'mu']]"
_/_/b/a/m/_/_/,"[['balm', 'bomb']]"
_/T/r/u/_/_/_/,"[['threw', 'through']]"
_/_/b/o/d/_/_/,"[['bode', 'bowed']]"
_/_/w/i/l/_/_/,"[['weal', 'wheel']]"
_/_/_/@/d/_/_/,"[['ad', 'add']]"
_/_/_/Y/d/_/_/,"[['eyed', 'ide']]"
_/_/s/I/G/k/_/,"[['sink', 'sync']]"
_/_/t/Y/d/_/_/,"[['tide', 'tied']]"
_/_/l/u/t/_/_/,"[['loot', 'lute']]"
_/_/f/e/n/t/_/,"[['faint', 'feint']]"
_/s/w/i/t/_/_/,"[['suite', 'sweet']]"
_/_/t/u/n/_/_/,"[['toon', 'tune']]"
_/_/C/E/k/_/_/,"[['check', 'cheque', 'czech']]"
_/_/p/a/_/_/_/,"[['pa', 'pah', 'paw']]"
_/_/d/^/n/_/_/,"[['done', 'dun']]"
_/_/_/o/r/_/_/,"[['oar', 'or']]"
_/_/p/e/s/t/_/,"[['paced', 'paste']]"
_/_/k/i/_/_/_/,"[['key', 'quay']]"
_/_/w/e/t/_/_/,"[['wait', 'weight']]"
_/s/t/a/n/C/_/,"[['stanch', 'staunch']]"
_/_/_/e/l/_/_/,"[['ail', 'ale']]"
_/_/s/o/_/_/_/,"[['sew', 'so', 'sow']]"
_/_/t/^/n/_/_/,"[['ton', 'tun']]"
_/_/b/o/r/_/_/,"[['boar', 'bore']]"
_/_/_/I/n/_/_/,"[['in', 'inn']]"
_/_/_/e/t/_/_/,"[['ate', 'eight']]"
_/_/k/o/t/_/_/,"[['coat', 'cote']]"
_/p/r/Y/z/_/_/,"[['prise', 'prize']]"
_/_/d/e/z/_/_/,"[['days', 'daze']]"
_/t/r/u/p/_/_/,"[['troop', 'troupe']]"
_/_/p/o/r/_/_/,"[['poor', 'pore', 'pour']]"
_/_/k/a/t/_/_/,"[['caught', 'cot', 'khat']]"
_/_/f/o/r/_/_/,"[['for', 'fore', 'four']]"
_/_/p/@/s/t/_/,"[['passed', 'past']]"
_/_/d/I/s/k/_/,"[['disc', 'disk']]"
_/_/b/i/r/_/_/,"[['beer', 'bier']]"
_/_/l/u/_/_/_/,"[['lieu', 'loo']]"
_/T/r/o/n/_/_/,"[['throne', 'thrown']]"
_/_/t/^/f/_/_/,"[['tough', 'tuff']]"
_/_/t/I/l/_/_/,"[['til', 'till']]"
_/f/l/@/k/_/_/,"[['flack', 'flak']]"
_/_/d/i/r/_/_/,"[['dear', 'deer']]"
_/_/n/^/n/_/_/,"[['none', 'nun']]"
_/_/D/E/r/_/_/,"[['their', 'there']]"
_/_/J/@/m/_/_/,"[['jam', 'jamb']]"
_/_/k/a/k/_/_/,"[['caulk', 'cock']]"
_/_/r/i/l/_/_/,"[['reel', 'rille']]"
_/_/k/o/r/d/_/,"[['chord', 'cord']]"
